Time, Quad.GPS.X,,,Time, Quad.IMU.AX,,,
,,,,0.879992,-0.095209,,,
,,,,0.884992,-0.393971,,,
,,,,0.889992,-0.672418,,,
,,,,0.894992,-0.700771,,,
,,,,0.899992,0.472875,,,
,,,,0.904992,-0.017219,,,
,,,,0.909992,0.192617,,,
,,,,0.914992,-0.32931,,,
,,,,0.919992,-0.371355,,,
,,,,0.924992,-0.259014,,,
,,,,0.929992,0.473108,,,
,,,,0.934992,-0.445095,,,
,,,,0.939991,0.302673,,,
,,,,0.944991,-0.237306,,,
,,,,0.949991,1.253513,,,
,,,,0.954991,-0.660541,,,
,,,,0.959991,0.481038,,,
,,,,0.964991,1.187445,,,
,,,,0.969991,-0.732032,,,
,,,,0.974991,0.96336,,,
,,,,0.979991,-0.684666,,,
,,,,0.984991,0.176143,,,
,,,,0.989991,0.632386,,,
,,,,0.994991,-0.610003,,,
,,,,0.999991,0.243351,,,
,,,,1.004991,0.146539,,,
,,,,1.009991,-0.000657,,,
,,,,1.014991,0.928373,,,
,,,,1.019992,0.598148,,,
,,,,1.024992,-0.100746,,,
,,,,1.029992,-0.691752,,,
,,,,1.034992,-0.000713,,,
,,,,1.039993,-0.018628,,,
,,,,1.044993,-0.060985,,,
,,,,1.049993,0.704123,,,
,,,,1.054993,-0.081281,,,
,,,,1.059994,-0.162992,,,
,,,,1.064994,-0.064152,,,
,,,,1.069994,-0.292665,,,
,,,,1.074994,-0.172709,,,
,,,,1.079994,0.558996,,,
,,,,1.084995,0.119642,,,
,,,,1.089995,-0.126384,,,
,,,,1.094995,-0.099348,,,
,,,,1.099995,0.462901,,,
,,,,1.104996,-0.135484,,,
,,,,1.109996,0.513778,,,
,,,,1.114996,-0.259024,,,
,,,,1.119996,-0.120211,,,
,,,,1.124997,-0.346365,,,
,,,,1.129997,-0.796805,,,
,,,,1.134997,0.362703,,,
,,,,1.139997,0.16201,,,
,,,,1.144997,-0.320447,,,
,,,,1.149998,1.032599,,,
,,,,1.154998,0.394691,,,
,,,,1.159998,0.002952,,,
,,,,1.164998,-0.367753,,,
,,,,1.169999,-0.123126,,,
,,,,1.174999,0.46165,,,
,,,,1.179999,0.264488,,,
,,,,1.184999,-0.457655,,,
,,,,1.19,-0.42701,,,
,,,,1.195,-0.027899,,,
,,,,1.2,-0.157387,,,
,,,,1.205,0.084145,,,
,,,,1.210001,0.107896,,,
,,,,1.215001,-0.186054,,,
,,,,1.220001,-0.812378,,,
,,,,1.225001,0.725774,,,
,,,,1.230001,0.031099,,,
,,,,1.235002,-0.451111,,,
,,,,1.240002,-0.523855,,,
,,,,1.245002,-0.230857,,,
,,,,1.250002,-1.013988,,,
,,,,1.255003,0.2674,,,
,,,,1.260003,0.928679,,,
,,,,1.265003,-0.346132,,,
,,,,1.270003,-0.044365,,,
,,,,1.275004,0.51874,,,
,,,,1.280004,0.451749,,,
,,,,1.285004,0.295276,,,
,,,,1.290004,-0.898118,,,
,,,,1.295004,0.107519,,,
,,,,1.300005,0.235486,,,
